winner_id,loser_id,action,reason,fields_unioned,tags_moved,views_transferred
540476,540477,merged,,imslp_url,0,0
542691,542698,merged,,sheerpluck_url,0,0
542693,542696,merged,,imslp_url,0,0
553181,553182,merged,,imslp_url,0,0
556304,556305,merged,,imslp_url,0,0
560856,560857,merged,,imslp_url,0,0
569490,569491,merged,,imslp_url,0,0
587514,587515,merged,,imslp_url,0,0
600789,600790,merged,,imslp_url,0,0
600839,600840,merged,,imslp_url,0,0
531271,531272,merged,,imslp_url,0,0
531619,531620,merged,,imslp_url,0,0
536726,536727,merged,,imslp_url,0,0
536728,536729,merged,,imslp_url,0,0
536732,536733,merged,,imslp_url,0,0
536737,536738,merged,,imslp_url,0,0
536752,536753,merged,,imslp_url,0,0
536761,536762,merged,,imslp_url,0,0
536765,536766,merged,,imslp_url,0,0
536767,536768,merged,,imslp_url,0,0
539687,539688,merged,,imslp_url,0,0
539690,539691,merged,,imslp_url,0,0
540953,540954,merged,,imslp_url,0,0
542694,542695,merged,,imslp_url,0,0
545713,545714,merged,,imslp_url,0,0
547115,547116,merged,,imslp_url,0,0
551109,551110,merged,,imslp_url,0,0
553955,553956,merged,,imslp_url,0,0
553957,553958,merged,,imslp_url,0,0
553975,553978,merged,,imslp_url,0,0
553979,553980,merged,,sheerpluck_url,0,0
553981,553982,merged,,imslp_url,0,0
553985,553987,merged,,imslp_url,0,0
553991,553992,merged,,imslp_url,0,0
554005,554006,merged,,imslp_url,0,0
554009,554010,merged,,imslp_url,0,0
554017,554018,merged,,imslp_url,0,0
554026,554027,merged,,imslp_url,0,0
554030,554031,merged,,imslp_url,0,0
557199,557200,merged,,imslp_url,0,0
557531,557532,merged,,imslp_url,0,0
557543,557544,merged,,imslp_url,0,0
558233,558234,merged,,imslp_url,0,0
562980,562981,merged,,imslp_url,0,0
563186,563187,merged,,imslp_url,0,0
563190,563191,merged,,imslp_url,0,0
567679,567680,merged,,imslp_url,0,0
569488,569489,merged,,imslp_url,0,0
570155,570156,merged,,imslp_url,0,0
570168,570169,merged,,imslp_url,0,0
576502,576503,merged,,imslp_url,0,0
576505,576506,merged,,imslp_url,0,0
576510,576511,merged,,imslp_url,0,0
576508,576509,merged,,sheerpluck_url,0,0
576512,576513,merged,,imslp_url,0,0
576514,576515,merged,,imslp_url,0,0
576516,576517,merged,,imslp_url,0,0
576519,576520,merged,,imslp_url,0,0
576518,576521,merged,,imslp_url,0,0
576525,576526,merged,,imslp_url,0,0
576527,576528,merged,,imslp_url,0,0
576530,576531,merged,,imslp_url,0,0
576535,576536,merged,,imslp_url,0,0
576538,576539,merged,,imslp_url,0,0
576540,576541,merged,,imslp_url,0,0
576542,576543,merged,,imslp_url,0,0
576545,576546,merged,,imslp_url,0,0
576548,576549,merged,,imslp_url,0,0
576552,576553,merged,,imslp_url,0,0
576554,576555,merged,,imslp_url,0,0
576556,576557,merged,,imslp_url,0,0
576559,576560,merged,,imslp_url,0,0
576581,576582,merged,,imslp_url,0,0
576561,576562,merged,,imslp_url,0,0
576565,576566,merged,,imslp_url,0,0
576567,576568,merged,,imslp_url,0,0
576569,576572,merged,,sheerpluck_url,0,0
576570,576571,merged,,imslp_url,0,0
576574,576575,merged,,imslp_url,0,0
576576,576577,merged,,imslp_url,0,0
576579,576580,merged,,sheerpluck_url,0,0
576687,576688,merged,,imslp_url,0,0
576690,576691,merged,,imslp_url,0,0
583344,583345,merged,,imslp_url,0,0
584312,584313,merged,,imslp_url,0,0
584317,584318,merged,,imslp_url,0,0
587442,587443,merged,,imslp_url,0,0
587463,587464,merged,,imslp_url,0,0
587468,587469,merged,,imslp_url,0,0
587486,587487,merged,,imslp_url,0,0
587507,587508,merged,,imslp_url,0,0
588599,588600,merged,,imslp_url,0,0
589466,589467,merged,,imslp_url,0,0
589468,589469,merged,,imslp_url,0,0
589472,589473,merged,,imslp_url,0,0
589481,589482,merged,,imslp_url,0,0
589483,589484,merged,,imslp_url,0,0
589486,589487,merged,,imslp_url,0,0
589488,589489,merged,,imslp_url,0,0
589490,589491,merged,,imslp_url,0,0
589492,589493,merged,,imslp_url,0,0
589495,589496,merged,,imslp_url,0,0
589497,589498,merged,,imslp_url,0,0
589500,589501,merged,,imslp_url,0,0
589502,589503,merged,,imslp_url,0,0
589504,589505,merged,,imslp_url,0,0
589512,589513,merged,,imslp_url,0,0
589526,589527,merged,,imslp_url,0,0
589528,589529,merged,,imslp_url,0,0
589534,589535,merged,,imslp_url,0,0
589537,589538,merged,,imslp_url,0,0
589539,589540,merged,,imslp_url,0,0
589541,589542,merged,,imslp_url,0,0
589546,589547,merged,,imslp_url,0,0
589548,589549,merged,,imslp_url,0,0
589551,589552,merged,,sheerpluck_url,0,0
589554,589555,merged,,imslp_url,0,0
589556,589557,merged,,imslp_url,0,0
589558,589559,merged,,imslp_url,0,0
589562,589563,merged,,sheerpluck_url,0,0
589565,589566,merged,,imslp_url,0,0
589567,589568,merged,,imslp_url,0,0
589570,589571,merged,,imslp_url,0,0
589572,589573,merged,,imslp_url,0,0
589590,589591,merged,,imslp_url,0,0
589960,589961,merged,,imslp_url,0,0
590440,590441,merged,,imslp_url,0,0
592002,592003,merged,,imslp_url,0,0
598833,598834,merged,,imslp_url,0,0
600566,600567,merged,,imslp_url,0,0
600580,600581,skipped,loser has view_count=2,,,
600793,600794,merged,,imslp_url,0,0
601894,601895,merged,,imslp_url,0,0
530911,530912,merged,,,0,0
531389,531390,merged,,,0,0
532772,532773,merged,,,0,0
532794,532795,merged,,,0,0
535211,535212,merged,,,0,0
535211,535213,merged,,,0,0
535211,535214,merged,,,0,0
535211,535215,merged,,,0,0
535211,535216,merged,,,0,0
535211,535217,merged,,,0,0
535211,535218,merged,,,0,0
535211,535219,merged,,,0,0
535211,535220,merged,,,0,0
535211,535221,merged,,,0,0
535211,535222,merged,,,0,0
535211,535223,merged,,,0,0
535211,535224,merged,,,0,0
535226,535227,merged,,,0,0
535226,535228,merged,,,0,0
535232,535233,merged,,,0,0
535234,535235,merged,,,0,0
535241,535242,merged,,,0,0
535241,535243,merged,,,0,0
535248,535249,merged,,,0,0
535250,535251,merged,,,0,0
535252,535253,merged,,,0,0
535252,535254,merged,,,0,0
535252,535255,merged,,,0,0
535252,535256,merged,,,0,0
535252,535257,merged,,,0,0
535252,535258,merged,,,0,0
535252,535259,merged,,,0,0
535252,535260,merged,,,0,0
535252,535261,merged,,,0,0
535252,535262,merged,,,0,0
535252,535263,merged,,,0,0
535252,535264,merged,,,0,0
535252,535265,merged,,,0,0
535252,535266,merged,,,0,0
535252,535267,merged,,,0,0
535252,535268,merged,,,0,0
535252,535269,merged,,,0,0
535252,535270,merged,,,0,0
